doc_id,title,url,event_type,sponsor,location,date,speaker,views,originating_calendar,topics,cost,contact,e-mail,phone,registration,description,seminars,workshops,job_networking,workouts,social_events,arts
22,BODYPUMP Express *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296803,Other,Campus Recreation,ARC MP2,"May 2, 2018   12:10 pm   12:50 pm",Annmarie,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
23,H2O Cardio,http://calendars.illinois.edu/detail/4046?eventId=33298400,Other,Campus Recreation,CRCE Pool,"May 2, 2018   5:10 pm   5:50 pm",Jeanne,1,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
24,BODYATTACK,http://calendars.illinois.edu/detail/4046?eventId=33304736,Other,Campus Recreation,CRCE MP1&2,"May 2, 2018   5:30 pm   6:15 pm",Coltrane,2,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
25,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296818,Other,Campus Recreation,ARC MP2,"May 2, 2018   5:30 pm   6:30 pm",Dan,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
26,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296867,Other,Campus Recreation,ARC Cycle Studio,"May 2, 2018   5:30 pm   6:15 pm",Kelsey,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
27,BODYCOMBAT,http://calendars.illinois.edu/detail/4046?eventId=33292947,Other,Campus Recreation,CRCE MP1&2,"May 2, 2018   6:45 pm   7:45 pm",Blanka,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
28,Zumba,http://calendars.illinois.edu/detail/4046?eventId=33292835,Other,Campus Recreation,ARC MP2,"May 2, 2018   6:45 pm   7:45 pm",Pedro,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
29,BODYATTACK Express,http://calendars.illinois.edu/detail/4046?eventId=33293202,Other,Campus Recreation,ARC MP2,"May 3, 2018   6:30 am   7:15 am",Courtney,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
30,HIIT,http://calendars.illinois.edu/detail/4046?eventId=33293296,Other,Campus Recreation,CRCE MP1,"May 3, 2018   12:15 pm   12:45 pm",Maria,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
31,BODYATTACK,http://calendars.illinois.edu/detail/4046?eventId=33293372,Other,Campus Recreation,CRCE MP1&2,"May 3, 2018   5:30 pm   6:30 pm",Blanka,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
32,BODYFLOW *Bring Yoga Mat*,http://calendars.illinois.edu/detail/4046?eventId=33299246,Other,Campus Recreation,ARC MP2,"May 3, 2018   5:30 pm   6:30 pm",Lauren,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
33,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296918,Other,Campus Recreation,ARC Cycle Studio,"May 3, 2018   5:30 pm   6:15 pm",Kia,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
34,Zumba,http://calendars.illinois.edu/detail/4046?eventId=33293330,Other,Campus Recreation,CRCE MP1&2,"May 3, 2018   6:45 pm   7:45 pm",Pedro,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
35,Vinyasa Yoga *Bring a Mat*,http://calendars.illinois.edu/detail/4046?eventId=33297610,Other,Campus Recreation,ARC MP5,"May 3, 2018   7:45 pm   8:45 pm",Marissa,2,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
36,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296933,Other,Campus Recreation,ARC MP2,"May 4, 2018   6:30 am   7:30 am",Kelsey,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
37,Barre Above *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33298351,Other,Campus Recreation,ARC MP4,"May 4, 2018   12:30 pm   1:10 pm",Casey,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
38,Iyengar Yoga,http://calendars.illinois.edu/detail/4046?eventId=33293389,Other,Campus Recreation,CRCE MP1&2,"May 4, 2018   3:30 pm   5:00 pm",Gwen,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
39,BODYATTACK Express,http://calendars.illinois.edu/detail/4046?eventId=33293443,Other,Campus Recreation,ARC MP2,"May 4, 2018   4:15 pm   5:00 pm",Coltrane,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
40,BODYCOMBAT,http://calendars.illinois.edu/detail/4046?eventId=33293465,Other,Campus Recreation,ARC MP2,"May 5, 2018   11:30 am   12:30pm",Scotty,3,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
41,Yoga and Meditation,http://calendars.illinois.edu/detail/4046?eventId=33293481,Other,Campus Recreation,CRCE MP1&2,"May 6, 2018   3:30 pm   5:00 pm",Pat,2,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
42,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296977,Other,Campus Recreation,ARC MP2,"May 7, 2018   6:30 am   7:30 am",Courtney,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
43,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33304946,Other,Campus Recreation,ARC Cycle Studio,"May 7, 2018   6:30 am   7:30 am",Kelsey,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
44,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33297006,Other,Campus Recreation,ARC Cycle Studio,"May 7, 2018   6:30 am   7:30 am",Kelsey,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
45,Barre Above *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33304949,Other,Campus Recreation,ARC MP4,"May 7, 2018   12:10 pm   12:50 pm",Kia,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
46,H2O Cardio,http://calendars.illinois.edu/detail/4046?eventId=33298414,Other,Campus Recreation,CRCE Pool,"May 7, 2018   5:10 pm   5:50 pm",Jeanne,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
47,BODYATTACK,http://calendars.illinois.edu/detail/4046?eventId=33297862,Other,Campus Recreation,CRCE MP1&2,"May 7, 2018   5:30 pm   6:15 pm",Coltrane,1,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
48,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33297046,Other,Campus Recreation,ARC MP2,"May 7, 2018   5:30 pm   6:30 pm",Kelsey,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
49,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33304947,Other,Campus Recreation,ARC Cycle Studio,"May 7, 2018   5:30 pm   6:15 pm",Annmarie,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
50,BODYCOMBAT,http://calendars.illinois.edu/detail/4046?eventId=33297876,Other,Campus Recreation,CRCE MP1&2,"May 7, 2018   6:30 pm   7:30 pm",Blanka,1,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
51,Zumba,http://calendars.illinois.edu/detail/4046?eventId=33293578,Other,Campus Recreation,ARC MP2,"May 7, 2018   6:45 pm   7:45 pm",Pedro,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
52,Pulsepointe Barre *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33298280,Other,Campus Recreation,ARC MP5,"May 7, 2018   7:30 pm   8:30 pm",Casey,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
53,BODYATTACK Express,http://calendars.illinois.edu/detail/4046?eventId=33293170,Other,Campus Recreation,ARC MP2,"May 8, 2018   6:30 am   7:15 am",Scotty,2,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
54,Barre Above *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33304950,Other,Lauren,ARC MP4,"May 8, 2018   12:10 pm   12:50 pm",NA,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
55,HIIT,http://calendars.illinois.edu/detail/4046?eventId=33293186,Other,Campus Recreation,CRCE MP1,"May 8, 2018   12:15 pm   12:45 pm",Maria,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
56,Vinyasa Yoga *Bring a Mat*,http://calendars.illinois.edu/detail/4046?eventId=33297941,Other,Campus Recreation,ARC MP2,"May 8, 2018   12:15 pm   12:55 pm",Marissa,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
57,BODYATTACK,http://calendars.illinois.edu/detail/4046?eventId=33293357,Other,Campus Recreation,CRCE MP1&2,"May 8, 2018   5:30 pm   6:30 pm",Blanka,1,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
58,BODYFLOW  *Bring Yoga Mat*,http://calendars.illinois.edu/detail/4046?eventId=33299260,Other,Campus Recreation,ARC MP2,"May 8, 2018   5:30 pm   6:30 pm",Annmarie,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
59,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296786,Other,Campus Recreation,ARC Cycle Studio,"May 8, 2018   5:30 pm   6:15 pm",Courtney,2,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
60,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33304948,Other,Campus Recreation,ARC Cycle Studio,"May 8, 2018   5:30 pm   6:15 pm",Courtney,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
61,DWE,http://calendars.illinois.edu/detail/4046?eventId=33292997,Other,Jeanne,ARC Pool,"May 8, 2018   5:30 pm   6:30 pm",NA,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
62,POUND,http://calendars.illinois.edu/detail/4046?eventId=33298379,Other,Chris,ARC MP5,"May 8, 2018   5:30 pm   6:30 pm",NA,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
63,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296893,Other,Campus Recreation,ARC MP2,"May 8, 2018   6:45 pm   7:45 pm",Courtney,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
64,Zumba,http://calendars.illinois.edu/detail/4046?eventId=33293110,Other,Campus Recreation,CRCE MP1&2,"May 8, 2018   6:45 pm   7:45 pm",Pedro,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
65,TRX HIIT *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296853,Other,Campus Recreation,ARC MP4,"May 9, 2018   6:30 am   7:15 am",Kelsey,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
66,BODYPUMP Express *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296804,Other,Campus Recreation,ARC MP2,"May 9, 2018   12:10 pm   12:50 pm",Annmarie,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
67,H2O Cardio,http://calendars.illinois.edu/detail/4046?eventId=33298401,Other,Campus Recreation,CRCE Pool,"May 9, 2018   5:10 pm   5:50 pm",Jeanne,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
68,BODYATTACK,http://calendars.illinois.edu/detail/4046?eventId=33304737,Other,Campus Recreation,CRCE MP1&2,"May 9, 2018   5:30 pm   6:15 pm",Coltrane,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
69,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296819,Other,Campus Recreation,ARC MP2,"May 9, 2018   5:30 pm   6:30 pm",Dan,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
70,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296868,Other,Campus Recreation,ARC Cycle Studio,"May 9, 2018   5:30 pm   6:15 pm",Kelsey,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
71,BODYCOMBAT,http://calendars.illinois.edu/detail/4046?eventId=33292948,Other,Campus Recreation,CRCE MP1&2,"May 9, 2018   6:45 pm   7:45 pm",Blanka,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
72,Zumba,http://calendars.illinois.edu/detail/4046?eventId=33292836,Other,Campus Recreation,ARC MP2,"May 9, 2018   6:45 pm   7:45 pm",Pedro,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
73,BODYATTACK Express,http://calendars.illinois.edu/detail/4046?eventId=33293203,Other,Campus Recreation,ARC MP2,"May 10, 2018   6:30 am   7:15 am",Courtney,2,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
74,HIIT,http://calendars.illinois.edu/detail/4046?eventId=33293297,Other,Campus Recreation,CRCE MP1,"May 10, 2018   12:15 pm   12:45 pm",Maria,1,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
75,BODYATTACK,http://calendars.illinois.edu/detail/4046?eventId=33293373,Other,Campus Recreation,CRCE MP1&2,"May 10, 2018   5:30 pm   6:30 pm",Blanka,2,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
76,BODYFLOW *Bring Yoga Mat*,http://calendars.illinois.edu/detail/4046?eventId=33299247,Other,Campus Recreation,ARC MP2,"May 10, 2018   5:30 pm   6:30 pm",Lauren,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
77,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296919,Other,Campus Recreation,ARC Cycle Studio,"May 10, 2018   5:30 pm   6:15 pm",Kia,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
78,Zumba,http://calendars.illinois.edu/detail/4046?eventId=33293331,Other,Campus Recreation,CRCE MP1&2,"May 10, 2018   6:45 pm   7:45 pm",Pedro,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
79,Vinyasa Yoga *Bring a Mat*,http://calendars.illinois.edu/detail/4046?eventId=33297611,Other,Campus Recreation,ARC MP5,"May 10, 2018   7:45 pm   8:45 pm",Marissa,5,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
80,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296934,Other,Campus Recreation,ARC MP2,"May 11, 2018   6:30 am   7:30 am",Kelsey,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
81,Barre Above *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33298352,Other,Campus Recreation,ARC MP4,"May 11, 2018   12:30 pm   1:10 pm",Casey,2,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
82,Iyengar Yoga,http://calendars.illinois.edu/detail/4046?eventId=33293390,Other,Campus Recreation,CRCE MP1&2,"May 11, 2018   3:30 pm   5:00 pm",Gwen,4,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
83,BODYATTACK Express,http://calendars.illinois.edu/detail/4046?eventId=33293444,Other,Campus Recreation,ARC MP2,"May 11, 2018   4:15 pm   5:00 pm",Coltrane,3,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
84,SUMMER COMING SOON,http://calendars.illinois.edu/detail/4046?eventId=33304951,Other,Campus Recreation,NA,"May 12, 2018   8:30 am   ",NA,15,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
85,Krannert Center Tours,http://calendars.illinois.edu/detail/33?eventId=33269873,Informational,Krannert Center for the Performing Arts,"Lobby, Krannert Center for the Performing Arts, 500 S. Goodwin Ave, Urbana, IL 61801","Apr 1, 2018 - Apr 30, 2018   3:00 pm   4:00pm",NA,57,NA,"arts, tour",FREE,Krannert Center Ticket Office,comments@krannertcenter.illinois.edu,217-333-6280,NA,"Meet in the Lobby in front of the Ticket Office to take a peek inside each of our theatres and learn more about Krannert Center. Each tour is given by a student staff member who will tell you about the history of the building, the unique designs of each performance space, and how the Center operates. The tour will lead you into the theatres, onto the stages, and take you through the production areas of Krannert Center.
Group tours and special tours are available. Groups of up to 15 may join the Daily Tour with no advance notice. To schedule a tour for a group larger than 15 people or at a different time than the Daily Tour, contact us by phone at 217.333.9716, or email at patronservices@krannertcenter.illinois.edu, at least two weeks in advance to make arrangements for a group or special tour. 
A tour lasts approximately 45-60 minutes.",0,0,0,0,1,3
86,Krannert Center Tours,http://calendars.illinois.edu/detail/33?eventId=33269893,Informational,Krannert Center for the Performing Arts,"Lobby, Krannert Center for the Performing Arts, 500 S. Goodwin Ave, Urbana, IL 61801","May 1, 2018 - May 2, 2018   3:00 pm   4:00pm",NA,1,NA,"arts, theater, tour",FREE,Krannert Center Ticket Office,comments@krannertcenter.illinois.edu,217-333-6280,NA,"Meet in the Lobby in front of the Ticket Office to take a peek inside each of our theatres and learn more about Krannert Center. Each tour is given by a student staff member who will tell you about the history of the building, the unique designs of each performance space, and how the Center operates. The tour will lead you into the theatres, onto the stages, and take you through the production areas of Krannert Center.
Group tours and special tours are available. Groups of up to 15 may join the Daily Tour with no advance notice. To schedule a tour for a group larger than 15 people or at a different time than the Daily Tour, contact us by phone at 217.333.9716, or email at patronservices@krannertcenter.illinois.edu, at least two weeks in advance to make arrangements for a group or special tour. 
A tour lasts approximately 45-60 minutes.",0,0,0,0,1,3
87,UI Jazz Band II,http://calendars.illinois.edu/detail/33?eventId=33302784,Performance,Krannert Center for the Performing Arts,"Studio Theatre, 500 S. Goodwin Ave, Urbana, IL 61801 Krannert Center for the Performing Arts","May 1, 2018   7:30 pm   ",NA,2,NA,"arts, community, concert, music",$4-10,Krannert Center Ticket Office,comments@krannertcenter.illinois.edu,217-333-6280,NA,"This group from the University of Illinois specializes in tunes from the Big Band era.
 
This performance will run approximately two hours, including a 20-minute intermission.",0,0,0,0,0,3
88,UI Symphony Orchestra and UI Choirs: Britten's War Requiem,http://calendars.illinois.edu/detail/33?eventId=33302785,Performance,Krannert Center for the Performing Arts,"Foellinger Great Hall, 500 S. Goodwin Ave, Urbana, IL 61801 Krannert Center for the Performing Arts","May 1, 2018   7:30 pm   ",NA,7,NA,"arts, community, concert, music",$4-10,Krannert Center Ticket Office,comments@krannertcenter.illinois.edu,217-333-6280,NA,The premier orchestra at the University of Illinois will combine with preeminent Illinois choral groups to perform a variety of works in this concert.,0,1,1,0,0,2
